@relation sessions
@attribute Session integer
@attribute Actions integer
@attribute Time integer
@attribute PageAverageTime real
@attribute /ksc.html {True, False}
@attribute /shuttle/missions/missions.html {True, False}
@attribute /shuttle/countdown/ {True, False}
@attribute / {True, False}
@data
171,7,241,34.42857142857143,True,True,True,True
172,5,153,30.6,True,True,True,True
177,2,159,79.5,True,True,True,True
180,4,226,56.5,True,True,True,True
183,2,69,34.5,True,True,True,True
187,2,341,170.5,True,True,True,True
188,8,1397,174.625,True,True,True,True
189,3,82,27.333333333333332,True,True,True,True
190,2,268,134.0,True,True,True,True
197,15,1494,99.6,True,True,True,True
199,2,37,18.5,True,True,True,True
202,4,180,45.0,True,True,True,True
203,5,49,9.8,True,True,True,True
204,11,197,17.90909090909091,True,True,True,True
205,4,532,133.0,True,True,True,True
207,2,32,16.0,True,True,True,True
208,7,288,41.142857142857146,True,True,True,True
218,3,85,28.333333333333332,True,True,True,True
222,2,18,9.0,True,True,True,True
223,3,63,21.0,True,True,True,True
227,5,183,36.6,True,True,True,True
233,2,41,20.5,True,True,True,True
234,3,664,221.33333333333334,True,True,True,True
236,7,595,85.0,True,True,True,True
237,8,291,36.375,True,True,True,True
238,4,450,112.5,True,True,True,True
239,3,217,72.33333333333333,True,True,True,True
244,5,185,37.0,True,True,True,True
245,2,26,13.0,True,True,True,True
254,3,63,21.0,True,True,True,True
256,2,21,10.5,True,True,True,True
257,4,119,29.75,True,True,True,True
258,3,24,8.0,True,True,True,True
259,4,218,54.5,True,True,True,True
260,8,1347,168.375,True,True,True,True
262,3,272,90.66666666666667,True,True,True,True
263,2,47,23.5,True,True,True,True
264,5,245,49.0,True,True,True,True
266,2,22,11.0,True,True,True,True
272,2,17,8.5,True,True,True,True
275,6,107,17.833333333333332,True,True,True,True
279,3,134,44.666666666666664,True,True,True,True
291,6,1084,180.66666666666666,True,True,True,True
292,4,555,138.75,True,True,True,True
296,8,311,38.875,True,True,True,True
297,4,51,12.75,True,True,True,True
302,2,45,22.5,True,True,True,True
304,4,72,18.0,True,True,True,True
305,4,161,40.25,True,True,True,True
306,2,39,19.5,True,True,True,True
